name,price,link,discounts,product-image
SKECHERS Patike max protect M,"14.499,99 RSD",https://planetasport.rs/patike-max-protect-m-237304-bbk.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/3/237304-bbk.jpg?v=d004c00ce8']
ADIDAS Cipele terrex ax3 mid gtx M,"18.999,99 RSD",https://planetasport.rs/cipele-terrex-ax3-mid-gtx-m-bc0466.html,"['-30%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/b/c/bc0466.jpg?v=3b53906064']
ADIDAS Cipele terrex ax3 mid gtx M,"17.999,99 RSD",https://planetasport.rs/cipele-terrex-ax3-mid-gtx-m-if4876.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if4876.jpg?v=0a45d02651']
WINTRO Cipele fidias M,"10.999,99 RSD",https://planetasport.rs/wintro-wintro-cipele-fidias-m-wif243m305-01.html,"['-43%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243m305-01.jpg?v=6d3566678f']
WINTRO Cipele philo M,"10.499,99 RSD",https://planetasport.rs/wintro-wintro-cipele-philo-m-wif243m309-01.html,"['-40%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243m309-01.jpg?v=44d3da0345']
RANG Jakna zane jacket M,"12.299,99 RSD",https://planetasport.rs/rang-rang-jakna-zane-jacket-m-f249m04-02.html,"['-39%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/2/f249m04-02.jpg?v=4ec0d8ff6b']
WINTRO Cipele sylas M,"11.999,99 RSD",https://planetasport.rs/cipele-sylas-m-wif233m202-62.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif233m202-62.jpg?v=a8ec0121a1']
SKECHERS Patike delson M,"10.999,99 RSD",https://planetasport.rs/patike-delson-m-65801-choc.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/6/5/65801-choc.jpg?v=050b5c20d5']
RANG Cipele igor M,"8.999,99 RSD",https://planetasport.rs/rang-rang-cipele-igor-m-xmf24104-02.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/x/m/xmf24104-02.jpg?v=ffd808fef8']
SERGIO TACCHINI Patike motion M,"10.999,99 RSD",https://planetasport.rs/patike-motion-m-stm325500-03.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/s/t/stm325500-03.jpg?v=4fe840f4a5']
SKECHERS Patike delson M,"10.999,99 RSD",https://planetasport.rs/patike-delson-m-65801-blk.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/6/5/65801-blk.jpg?v=6f6fe57d47']
NIKE Cipele manoa leather M,"14.199,99 RSD",https://planetasport.rs/cipele-manoa-leather-m-454350-003.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/5/454350-003.jpg?v=c84b801157']
NEW BALANCE patike 574 M,"11.999,99 RSD",https://planetasport.rs/patike-574-m-ml574eve.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/m/l/ml574eve.jpg?v=323ca98d3d']
SKECHERS Patike max protect M,"14.499,99 RSD",https://planetasport.rs/patike-max-protect-m-237304-olbk.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/3/237304-olbk.jpg?v=e2161ab0ea']
SLAZENGER Cipele saylor M,"8.999,99 RSD",https://planetasport.rs/cipele-saylor-m-slf233m208-62.html,"['-35%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/s/l/slf233m208-62.jpg?v=a071b6d979']
ADIDAS Cipele terrex tracerocker 2 gtx M,"14.399,99 RSD",https://planetasport.rs/cipele-terrex-tracerocker-2-gtx-m-ie9400.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/e/ie9400.jpg?v=2a8cd2da1f']
GRI SPORT cipele taragon M,"9.999,99 RSD",https://planetasport.rs/cipele-taragon-m-11584d21g.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/1/11584d21g.jpg?v=b4ac6e69be']
ADIDAS Trenerka m 3s tr tt ts M,"8.999,99 RSD",https://planetasport.rs/trenerka-m-3s-tr-tt-ts-m-hz2220.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/z/hz2220.jpg?v=3730919b1b']
